Language,Worked,Worked_per,Wanted,Wanted_per,Salary,Year,Category,Category2
RaspberryPi,0.0909869240348692,9.1,0.1563083748443337,9.1,51.0,2017,Platforms,Platforms
Salesforce,0.0148272104607721,1.5,0.0123170921544209,1.5,70.0,2017,Platforms,Platforms
Serverless,0.0117917185554171,1.2,0.036192403486924,1.2,75.0,2017,Platforms,Platforms
Sharepoint,0.0210733188044831,2.1,0.0129202988792029,2.1,51.0,2017,Platforms,Platforms
WindowsDesktop,0.23250700498132,23.3,0.1494006849315068,23.3,48.0,2017,Platforms,Platforms
WindowsPhone,0.021871108343711,2.2,0.0272221357409713,2.2,41.0,2017,Platforms,Platforms
WordPress,0.0882822229140722,8.8,0.0455712951432129,8.8,44.0,2017,Platforms,Platforms
iOS,0.093049501867995,9.3,0.1409363325031133,9.3,51.0,2017,Platforms,Platforms
.NETCore,0.1315963574097135,13.2,0.1558219178082192,13.2,54.0,2017,Webframe,MiscTech
Angular.js,0.1743851183063511,17.4,0.1961394769613947,17.4,50.0,2017,Webframe,Webframe
Cordova,0.0434308841843088,4.3,0.0421077210460772,4.3,39.0,2017,Webframe,MiscTech
Firebase,0.0385079389788293,3.9,0.0573240971357409,3.9,41.0,2017,Webframe,Database
Hadoop,0.022338107098381,2.2,0.0662359900373599,2.2,57.0,2017,Webframe,MiscTech
Node.js,0.1852817559153175,18.5,0.2342582503113325,18.5,52.0,2017,Webframe,Programming
React.js,0.0769185865504358,7.7,0.1735678704856787,7.7,56.0,2017,Webframe,Webframe
Spark,0.0185437422166874,1.9,0.0493851183063511,1.9,64.0,2017,Webframe,Webframe
Xamarin,0.0325926214196762,3.3,0.0739220112079701,3.3,49.0,2017,Webframe,Platforms
Cassandra,0.017629202988792,1.8,0.0613130448318804,1.8,65.0,2017,Database,Database
MongoDB,0.1204856787048567,12.0,0.191138698630137,12.0,48.0,2017,Database,Database
MySQL,0.3186293586550436,31.9,0.1921894458281444,31.9,44.0,2017,Database,Database
Oracle,0.0948396637608966,9.5,0.0590364259028642,9.5,48.0,2017,Database,Database
PostgreSQL,0.1520664694894146,15.2,0.158020703611457,15.2,52.0,2017,Database,Database
Redis,0.0806156600249066,8.1,0.1202716376089663,8.1,54.0,2017,Database,Database
SQLServer,0.2210071606475716,22.1,0.1430767434620174,22.1,54.0,2017,Database,Database
SQLite,0.1525140099626401,15.3,0.1128191158156911,15.3,46.0,2017,Database,Database
Assembly,0.0354724470734744,3.5,0.0374182752179327,3.5,50.0,2017,Programming,Programming
C,0.1357020547945205,13.6,0.0941975404732254,13.6,50.0,2017,Programming,Programming
C#,0.2427615193026152,24.3,0.1982215130759651,24.3,54.0,2017,Programming,Programming
C++,0.1586822851805728,15.9,0.1487974782067248,15.9,52.0,2017,Programming,Programming
Clojure,0.0076081880448318,0.8,0.0254514321295143,0.8,72.0,2017,Programming,Programming
CoffeeScript,0.0231942714819427,2.3,0.0200809464508094,2.3,57.0,2017,Programming,Programming
CommonLisp,0.0053121108343711,0.5,0.012589508094645,0.5,59.0,2017,Programming,Programming
Dart,0.0028214508094645,0.3,0.009651307596513,0.3,53.0,2017,Programming,Programming
Elixir,0.0073941469489414,0.7,0.0304522104607721,0.7,68.0,2017,Programming,Programming
Erlang,0.0054677770859277,0.5,0.0204895703611457,0.5,59.0,2017,Programming,Programming
F#,0.0088924346201743,0.9,0.0395781444582814,0.9,65.0,2017,Programming,Programming
Go,0.0302965442092154,3.0,0.1122742839352428,3.0,65.0,2017,Programming,Programming
Groovy,0.0232137297633872,2.3,0.0168508717310087,2.3,62.0,2017,Programming,Programming
Hack,0.0020820361145703,0.2,0.0065768991282689,0.2,67.0,2017,Programming,Programming
Haskell,0.0126284246575342,1.3,0.0448707970112079,1.3,54.0,2017,Programming,Programming
Java,0.2826120797011208,28.3,0.1943493150684931,28.3,49.0,2017,Programming,Programming
JavaScript,0.4451081880448319,44.5,0.3176953611457036,44.5,51.0,2017,Programming,Programming
Julia,0.0026852428393524,0.3,0.0100210149439601,0.3,65.0,2017,Programming,Programming
Lua,0.0202171544209215,2.0,0.021734900373599,2.0,57.0,2017,Programming,Programming
Matlab,0.0305300435865504,3.1,0.0181156600249066,3.1,50.0,2017,Programming,Programming
Objective-C,0.045707503113325,4.6,0.0358810709838107,4.6,54.0,2017,Programming,Programming
PHP,0.2002257160647571,20.0,0.1043936799501868,20.0,40.0,2017,Programming,Programming
Perl,0.0308413760896637,3.1,0.0211900684931506,3.1,64.0,2017,Programming,Programming
Python,0.2277397260273972,22.8,0.2445905977584059,22.8,55.0,2017,Programming,Programming
R,0.0317948318804483,3.2,0.0511363636363636,3.2,58.0,2017,Programming,Programming
Ruby,0.0646793275217932,6.5,0.0771715442092154,6.5,60.0,2017,Programming,Programming
Rust,0.0080946450809464,0.8,0.052887608966376,0.8,66.0,2017,Programming,Programming
SQL,0.3649206102117061,36.5,0.2182635429638854,36.5,50.0,2017,Programming,Programming
Scala,0.0254708904109589,2.5,0.0607487546699875,2.5,60.0,2017,Programming,Programming
Smalltalk,0.0063628580323785,0.6,0.0081919364881693,0.6,74.0,2017,Programming,Programming
Swift,0.0460772104607721,4.6,0.0881460149439601,4.6,54.0,2017,Programming,Programming
TypeScript,0.0678704856787048,6.8,0.1107565379825653,6.8,55.0,2017,Programming,Programming
VB.NET,0.0442286737235367,4.4,0.0156444582814445,4.4,52.0,2017,Programming,Programming
VBA,0.0306273349937733,3.1,0.0086589352428393,3.1,51.0,2017,Programming,Programming
VisualBasic6,0.0208398194271481,2.1,0.0057401930261519,2.1,48.0,2017,Programming,Programming
AWS,0.1611147640483536,16.1,0.1869708158413838,16.1,64.0,2018,Platforms,Platforms
AmazonEcho,0.0196044711951848,2.0,0.0595923322037327,2.0,72.0,2018,Platforms,Platforms
Android,0.1937888827069951,19.4,0.2204137372919933,19.4,36.0,2018,Platforms,Platforms
AppleWatchorAppleTV,0.0128066359819938,1.3,0.034262303373628,1.3,68.0,2018,Platforms,Platforms
Arduino,0.0708714784280006,7.1,0.0973547114460573,7.1,44.0,2018,Platforms,Platforms
Azure,0.0735117090688382,7.4,0.091396489808305,7.4,63.0,2018,Platforms,Platforms
Drupal,0.0203328106823124,2.0,0.0130291841586161,2.0,47.0,2018,Platforms,Webframe
ESP8266,0.0148298012240149,1.5,0.0188862475342673,1.5,47.0,2018,Platforms,Platforms
Firebase,0.0968590359617621,9.7,0.1201557837236356,9.7,32.0,2018,Platforms,Database
Gamingconsole,0.0085984522785898,0.9,0.0400890192706489,0.9,52.0,2018,Platforms,Platforms
GoogleCloudPlatform,0.0536341105659804,5.4,0.09474482828385,5.4,54.0,2018,Platforms,Platforms
GoogleHome,0.0090233169794142,0.9,0.0455920287289464,0.9,51.0,2018,Platforms,Platforms
Heroku,0.0699307065904607,7.0,0.0600576602093976,7.0,48.0,2018,Platforms,Platforms
IBMCloudorWatson,0.0096100348996004,1.0,0.0223762075767538,1.0,56.0,2018,Platforms,Platforms
Linux,0.3222801072277578,32.2,0.2985989580699003,32.2,50.0,2018,Platforms,Platforms
MacOS,0.1195892974558697,12.0,0.1212179454756967,12.0,59.0,2018,Platforms,Platforms
Mainframe,0.0053917353699863,0.5,0.0061099590309038,0.5,65.0,2018,Platforms,Platforms
Predix,0.0011127408831116,0.1,0.0022760608972737,0.1,41.0,2018,Platforms,Platforms
RaspberryPi,0.1063072176420009,10.6,0.1627939911992311,10.6,55.0,2018,Platforms,Platforms
Salesforce,0.014738758788124,1.5,0.0132213848566081,1.5,69.0,2018,Platforms,Platforms
Serverless,0.0302159728895857,3.0,0.0660968084568307,3.0,77.0,2018,Platforms,Platforms
Sharepoint,0.0178645490870466,1.8,0.0108037023923929,1.8,54.0,2018,Platforms,Platforms
WindowsDesktoporServer,0.2366395225330028,23.7,0.1599919073390319,23.7,47.0,2018,Platforms,Platforms
WindowsPhone,0.0182084871781902,1.8,0.0149613069647463,1.8,38.0,2018,Platforms,Platforms
WordPress,0.1060745536391684,10.6,0.0548884730160335,10.6,37.0,2018,Platforms,Platforms
iOS,0.1031915431692883,10.3,0.1331242729249911,10.3,51.0,2018,Platforms,Platforms
.NETCore,0.1418845784229427,14.2,0.1547721410146173,14.2,54.0,2018,Webframe,MiscTech
Angular,0.1924333619948409,19.2,0.1915532851145617,19.2,48.0,2018,Webframe,Webframe
Cordova,0.0441960447119518,4.4,0.0373476303677102,4.4,35.0,2018,Webframe,MiscTech
Django,0.0680086996105407,6.8,0.0887562591674675,6.8,45.0,2018,Webframe,Webframe
